functional_area,program_name,run_id,table_name,source_record_count,ignored_record_count,orphan_record_count,source_considered_count,source_errored_count,source_converted_count,quarter
Buy-In,BUY_MS_MASTER                 ,FINAL1    ,b_adr_tb                      ,5969881,0,0,5969881,0,5969881, 
Buy-In,BUY_MS_MASTER                 ,FINAL2    ,b_adr_tb                      ,5974731,0,0,5974731,0,5974731, 
Buy-In,BUY_MS_MASTER                 ,TST18     ,b_adr_tb                      ,5878842,0,0,5878842,1656909,4221933, 
Buy-In,BUY_MS_MASTER                 ,TST19     ,b_adr_tb                      ,5904766,0,2,5904764,1665212,4239552, 
Buy-In,BUY_MS_MASTER                 ,TST20     ,b_adr_tb                      ,5904766,0,2,5904764,1675367,4229397, 
Buy-In,BUY_MS_MASTER                 ,TST21     ,b_adr_tb                      ,5904766,0,2,5904764,1674792,4229972, 
Buy-In,BUY_MS_MASTER                 ,TST23     ,b_adr_tb                      ,5904766,0,2,5904764,1674792,4229972, 
Buy-In,BUY_MS_MASTER                 ,TST25     ,b_adr_tb                      ,5904766,0,2,5904764,1674792,4229972, 
Buy-In,BUY_MS_MASTER                 ,TST27     ,b_adr_tb                      ,5929621,0,0,5929621,1672023,4257598, 
Buy-In,BUY_MS_MASTER                 ,TST28     ,b_adr_tb                      ,5929621,0,0,5929621,1507323,4422298, 
Buy-In,BUY_MS_MASTER                 ,TST30     ,b_adr_tb                      ,5929621,0,0,5929621,1507124,4422497, 
Buy-In,BUY_MS_MASTER                 ,TST32     ,b_adr_tb                      ,5929621,0,0,5929621,1456902,4472719, 
Buy-In,BUY_MS_MASTER                 ,TST34     ,b_adr_tb                      ,5951040,0,0,5951040,0,5951040, 
Buy-In,BUY_MS_MASTER                 ,TST36     ,b_adr_tb                      ,5959056,0,0,5959056,0,5959056, 
Buy-In,BUY_MS_MASTER                 ,TST38     ,b_adr_tb                      ,5959056,0,0,5959056,0,5959056, 
Buy-In,BUY_MS_MASTER                 ,ALL02     ,b_buyin_txn_tb                ,1078866,0,0,1078866,0,1078866, 
Buy-In,BUY_MS_MASTER                 ,FINAL1    ,b_buyin_txn_tb                ,1107138,0,0,1107138,0,1107138, 
Buy-In,BUY_MS_MASTER                 ,FINAL2    ,b_buyin_txn_tb                ,1107138,0,0,1107138,0,1107138, 
Buy-In,BUY_MS_MASTER                 ,MOD03     ,b_buyin_txn_tb                ,1074646,0,0,1074646,0,1074646, 
Buy-In,BUY_MS_MASTER                 ,PRLM01    ,b_buyin_txn_tb                ,1048531,0,0,1048531,0,1048531, 
Buy-In,BUY_MS_MASTER                 ,PRLM02    ,b_buyin_txn_tb                ,1048531,0,0,1048531,0,1048531, 
Buy-In,BUY_MS_MASTER                 ,PRLM03    ,b_buyin_txn_tb                ,1051905,0,0,1051905,0,1051905, 
Buy-In,BUY_MS_MASTER                 ,PRLM04    ,b_buyin_txn_tb                ,1051905,0,0,1051905,0,1051905, 
Buy-In,BUY_MS_MASTER                 ,PRLM05    ,b_buyin_txn_tb                ,2114703,0,3,2114700,0,2114700, 
Buy-In,BUY_MS_MASTER                 ,TRAD01    ,b_buyin_txn_tb                ,1069053,0,0,1069053,0,1069053, 
Buy-In,BUY_MS_MASTER                 ,TST03     ,b_buyin_txn_tb                ,1024504,0,0,1024504,0,1024504, 
Buy-In,BUY_MS_MASTER                 ,TST04     ,b_buyin_txn_tb                ,1024504,0,0,1024504,0,1024504, 
Buy-In,BUY_MS_MASTER                 ,TST05     ,b_buyin_txn_tb                ,1024504,0,0,1024504,0,1024504, 
Buy-In,BUY_MS_MASTER                 ,TST08     ,b_buyin_txn_tb                ,3183756,0,5,3183751,0,3183751, 
Buy-In,BUY_MS_MASTER                 ,TST09     ,b_buyin_txn_tb                ,3183756,0,5,3183751,0,3183751, 
Buy-In,BUY_MS_MASTER                 ,TST10     ,b_buyin_txn_tb                ,3183756,0,5,3183751,0,3183751, 
Buy-In,BUY_MS_MASTER                 ,TST12     ,b_buyin_txn_tb                ,1074646,0,0,1074646,0,1074646, 
Buy-In,BUY_MS_MASTER                 ,TST15     ,b_buyin_txn_tb                ,1078866,0,0,1078866,0,1078866, 
Buy-In,BUY_MS_MASTER                 ,TST17     ,b_buyin_txn_tb                ,1078866,0,0,1078866,0,1078866, 
Buy-In,BUY_MS_MASTER                 ,TST18     ,b_buyin_txn_tb                ,1078866,0,0,1078866,393981,684885, 
Buy-In,BUY_MS_MASTER                 ,TST19     ,b_buyin_txn_tb                ,1091108,0,0,1091108,400072,691036, 
Buy-In,BUY_MS_MASTER                 ,TST20     ,b_buyin_txn_tb                ,1091108,0,0,1091108,400941,690167, 
Buy-In,BUY_MS_MASTER                 ,TST21     ,b_buyin_txn_tb                ,1091108,0,0,1091108,400934,690174, 
Buy-In,BUY_MS_MASTER                 ,TST23     ,b_buyin_txn_tb                ,1091108,0,0,1091108,400934,690174, 
Buy-In,BUY_MS_MASTER                 ,TST25     ,b_buyin_txn_tb                ,1091108,0,0,1091108,400934,690174, 
Buy-In,BUY_MS_MASTER                 ,TST27     ,b_buyin_txn_tb                ,1097550,0,1,1097549,400750,696799, 
Buy-In,BUY_MS_MASTER                 ,TST28     ,b_buyin_txn_tb                ,1097550,0,1,1097549,311253,786296, 
Buy-In,BUY_MS_MASTER                 ,TST30     ,b_buyin_txn_tb                ,1097550,0,1,1097549,311237,786312, 
Buy-In,BUY_MS_MASTER                 ,TST32     ,b_buyin_txn_tb                ,1097550,0,1,1097549,308563,788986, 
Buy-In,BUY_MS_MASTER                 ,TST34     ,b_buyin_txn_tb                ,1101293,0,0,1101293,0,1101293, 
Buy-In,BUY_MS_MASTER                 ,TST36     ,b_buyin_txn_tb                ,1101293,0,1,1101292,0,1101292, 
Buy-In,BUY_MS_MASTER                 ,TST38     ,b_buyin_txn_tb                ,1101293,0,1,1101292,0,1101292, 
Buy-In,BUY_MS_MASTER                 ,UAT01     ,b_buyin_txn_tb                ,2114703,0,3,2114700,0,2114700, 
Buy-In,BUY_MS_MASTER                 ,UAT02     ,b_buyin_txn_tb                ,2114703,0,3,2114700,0,2114700, 
Buy-In,BUY_MS_MASTER                 ,UAT03     ,b_buyin_txn_tb                ,1069053,0,0,1069053,0,1069053, 
Buy-In,BUY_MS_MASTER                 ,ALL02     ,b_detail_tb                   ,2571027,2038215,-1                 ,532812,0,532812, 
Buy-In,BUY_MS_MASTER                 ,FINAL1    ,b_detail_tb                   ,2613386,2060575,-1                 ,552811,0,552811, 
Buy-In,BUY_MS_MASTER                 ,FINAL2    ,b_detail_tb                   ,2615712,2062520,-1                 ,553192,0,553192, 
Buy-In,BUY_MS_MASTER                 ,MOD03     ,b_detail_tb                   ,2558571,2005698,-1                 ,552873,0,552873, 
Buy-In,BUY_MS_MASTER                 ,PRLM01    ,b_detail_tb                   ,2534321,1995321,-1                 ,539000,0,539000, 
Buy-In,BUY_MS_MASTER                 ,PRLM02    ,b_detail_tb                   ,2534321,1993695,-1                 ,540626,0,540626, 
Buy-In,BUY_MS_MASTER                 ,PRLM03    ,b_detail_tb                   ,2538964,1996454,-1                 ,542510,0,542510, 
Buy-In,BUY_MS_MASTER                 ,PRLM04    ,b_detail_tb                   ,2538964,1996756,-1                 ,542208,0,542208, 
Buy-In,BUY_MS_MASTER                 ,PRLM05    ,b_detail_tb                   ,2546175,1999501,-1                 ,546674,0,546674, 
Buy-In,BUY_MS_MASTER                 ,TRAD01    ,b_detail_tb                   ,2551640,2001926,-1                 ,549714,0,549714, 
Buy-In,BUY_MS_MASTER                 ,TST03     ,b_detail_tb                   ,2514864,1981741,-1                 ,533123,0,533123, 
Buy-In,BUY_MS_MASTER                 ,TST04     ,b_detail_tb                   ,2514864,1981741,-1                 ,533123,0,533123, 
Buy-In,BUY_MS_MASTER                 ,TST05     ,b_detail_tb                   ,2514864,1981741,-1                 ,533123,0,533123, 
Buy-In,BUY_MS_MASTER                 ,TST08     ,b_detail_tb                   ,2551640,2001926,-1                 ,549714,0,549714, 
Buy-In,BUY_MS_MASTER                 ,TST09     ,b_detail_tb                   ,2551640,2001926,-1                 ,549714,0,549714, 
Buy-In,BUY_MS_MASTER                 ,TST10     ,b_detail_tb                   ,2551640,2001926,-1                 ,549714,0,549714, 
Buy-In,BUY_MS_MASTER                 ,TST12     ,b_detail_tb                   ,2558571,2005698,-1                 ,552873,0,552873, 
Buy-In,BUY_MS_MASTER                 ,TST15     ,b_detail_tb                   ,2571027,2015838,-1                 ,555189,0,555189, 
Buy-In,BUY_MS_MASTER                 ,TST17     ,b_detail_tb                   ,2571027,2038260,-1                 ,532767,0,532767, 
Buy-In,BUY_MS_MASTER                 ,TST18     ,b_detail_tb                   ,2571027,2038215,-1                 ,532812,177084,355728, 
Buy-In,BUY_MS_MASTER                 ,TST19     ,b_detail_tb                   ,2583094,2045476,-1                 ,537618,180331,357287, 
Buy-In,BUY_MS_MASTER                 ,TST20     ,b_detail_tb                   ,2583094,2045532,-1                 ,537562,180726,356836, 
Buy-In,BUY_MS_MASTER                 ,TST21     ,b_detail_tb                   ,2583094,2045528,-1                 ,537566,180721,356845, 
Buy-In,BUY_MS_MASTER                 ,TST23     ,b_detail_tb                   ,2583094,2045528,-1                 ,537566,180721,356845, 
Buy-In,BUY_MS_MASTER                 ,TST25     ,b_detail_tb                   ,2583094,2045528,-1                 ,537566,180721,356845, 
Buy-In,BUY_MS_MASTER                 ,TST27     ,b_detail_tb                   ,2594650,2050273,-1                 ,544377,180640,363737, 
