functional_area,program_name,run_id,table_name,target_record_count,quarter
Buy-In,BUY_MS_MASTER                 ,ALL02     ,t_buy_parta_bill              ,49183, 
Buy-In,BUY_MS_MASTER                 ,ALL02     ,t_re_hib                      ,641323, 
Buy-In,BUY_MS_MASTER                 ,ALL02     ,t_buy_partb_bill              ,1029683, 
Buy-In,BUY_MS_MASTER                 ,FINAL1    ,t_buy_parta_bill              ,50323, 
Buy-In,BUY_MS_MASTER                 ,FINAL1    ,t_buy_partb_bill              ,1056815, 
Buy-In,BUY_MS_MASTER                 ,FINAL1    ,t_re_hib                      ,852688, 
Buy-In,BUY_MS_MASTER                 ,FINAL2    ,t_buy_parta_bill              ,50323, 
Buy-In,BUY_MS_MASTER                 ,FINAL2    ,t_buy_partb_bill              ,1056815, 
Buy-In,BUY_MS_MASTER                 ,FINAL2    ,t_re_hib                      ,853390, 
Buy-In,BUY_MS_MASTER                 ,MOD03     ,t_buy_parta_bill              ,48983, 
Buy-In,BUY_MS_MASTER                 ,MOD03     ,t_re_hib                      ,966148, 
Buy-In,BUY_MS_MASTER                 ,MOD03     ,t_buy_partb_bill              ,1025663, 
Buy-In,BUY_MS_MASTER                 ,PRLM01    ,t_buy_partb_bill              ,1000585, 
Buy-In,BUY_MS_MASTER                 ,PRLM01    ,t_re_hib                      ,941908, 
Buy-In,BUY_MS_MASTER                 ,PRLM01    ,t_buy_parta_bill              ,47946, 
Buy-In,BUY_MS_MASTER                 ,PRLM02    ,t_buy_parta_bill              ,47946, 
Buy-In,BUY_MS_MASTER                 ,PRLM02    ,t_re_hib                      ,966599, 
Buy-In,BUY_MS_MASTER                 ,PRLM02    ,t_buy_partb_bill              ,1000585, 
Buy-In,BUY_MS_MASTER                 ,PRLM03    ,t_buy_parta_bill              ,48121, 
Buy-In,BUY_MS_MASTER                 ,PRLM03    ,t_buy_partb_bill              ,1003784, 
Buy-In,BUY_MS_MASTER                 ,PRLM03    ,t_re_hib                      ,966577, 
Buy-In,BUY_MS_MASTER                 ,PRLM04    ,t_buy_partb_bill              ,1003784, 
Buy-In,BUY_MS_MASTER                 ,PRLM04    ,t_re_hib                      ,966235, 
Buy-In,BUY_MS_MASTER                 ,PRLM04    ,t_buy_parta_bill              ,48121, 
Buy-In,BUY_MS_MASTER                 ,PRLM05    ,t_buy_parta_bill              ,96596, 
Buy-In,BUY_MS_MASTER                 ,PRLM05    ,t_buy_partb_bill              ,2018104, 
Buy-In,BUY_MS_MASTER                 ,PRLM05    ,t_re_hib                      ,966152, 
Buy-In,BUY_MS_MASTER                 ,TRAD01    ,t_buy_parta_bill              ,48740, 
Buy-In,BUY_MS_MASTER                 ,TRAD01    ,t_re_hib                      ,966150, 
Buy-In,BUY_MS_MASTER                 ,TRAD01    ,t_buy_partb_bill              ,1020313, 
Buy-In,BUY_MS_MASTER                 ,TST03     ,t_buy_parta_bill              ,47150, 
Buy-In,BUY_MS_MASTER                 ,TST03     ,t_buy_partb_bill              ,977354, 
Buy-In,BUY_MS_MASTER                 ,TST03     ,t_re_hib                      ,966625, 
Buy-In,BUY_MS_MASTER                 ,TST04     ,t_buy_partb_bill              ,977354, 
Buy-In,BUY_MS_MASTER                 ,TST04     ,t_re_hib                      ,966625, 
Buy-In,BUY_MS_MASTER                 ,TST04     ,t_buy_parta_bill              ,47150, 
Buy-In,BUY_MS_MASTER                 ,TST05     ,t_buy_partb_bill              ,977354, 
Buy-In,BUY_MS_MASTER                 ,TST05     ,t_buy_parta_bill              ,47150, 
Buy-In,BUY_MS_MASTER                 ,TST05     ,t_re_hib                      ,966625, 
Buy-In,BUY_MS_MASTER                 ,TST08     ,t_re_hib                      ,966139, 
Buy-In,BUY_MS_MASTER                 ,TST08     ,t_buy_parta_bill              ,145336, 
Buy-In,BUY_MS_MASTER                 ,TST08     ,t_buy_partb_bill              ,3038415, 
Buy-In,BUY_MS_MASTER                 ,TST09     ,t_buy_partb_bill              ,3038415, 
Buy-In,BUY_MS_MASTER                 ,TST09     ,t_buy_parta_bill              ,145336, 
Buy-In,BUY_MS_MASTER                 ,TST09     ,t_re_hib                      ,966150, 
Buy-In,BUY_MS_MASTER                 ,TST10     ,t_buy_partb_bill              ,3038415, 
Buy-In,BUY_MS_MASTER                 ,TST10     ,t_buy_parta_bill              ,145336, 
Buy-In,BUY_MS_MASTER                 ,TST10     ,t_re_hib                      ,966150, 
Buy-In,BUY_MS_MASTER                 ,TST12     ,t_re_hib                      ,966148, 
Buy-In,BUY_MS_MASTER                 ,TST12     ,t_buy_partb_bill              ,1025663, 
Buy-In,BUY_MS_MASTER                 ,TST12     ,t_buy_parta_bill              ,48983, 
Buy-In,BUY_MS_MASTER                 ,TST15     ,t_buy_partb_bill              ,1029683, 
Buy-In,BUY_MS_MASTER                 ,TST15     ,t_buy_parta_bill              ,49183, 
Buy-In,BUY_MS_MASTER                 ,TST15     ,t_re_hib                      ,966144, 
Buy-In,BUY_MS_MASTER                 ,TST17     ,t_buy_partb_bill              ,1029683, 
Buy-In,BUY_MS_MASTER                 ,TST17     ,t_buy_parta_bill              ,49183, 
Buy-In,BUY_MS_MASTER                 ,TST17     ,t_re_hib                      ,640450, 
Buy-In,BUY_MS_MASTER                 ,TST18     ,t_buy_parta_bill              ,27804, 
Buy-In,BUY_MS_MASTER                 ,TST18     ,t_buy_partb_bill              ,657081, 
Buy-In,BUY_MS_MASTER                 ,TST18     ,t_re_hib                      ,641323, 
Buy-In,BUY_MS_MASTER                 ,TST19     ,t_buy_parta_bill              ,27949, 
Buy-In,BUY_MS_MASTER                 ,TST19     ,t_buy_partb_bill              ,663087, 
Buy-In,BUY_MS_MASTER                 ,TST19     ,t_re_hib                      ,638037, 
Buy-In,BUY_MS_MASTER                 ,TST20     ,t_re_hib                      ,637193, 
Buy-In,BUY_MS_MASTER                 ,TST20     ,t_buy_partb_bill              ,662277, 
Buy-In,BUY_MS_MASTER                 ,TST20     ,t_buy_parta_bill              ,27890, 
Buy-In,BUY_MS_MASTER                 ,TST21     ,t_re_hib                      ,637208, 
Buy-In,BUY_MS_MASTER                 ,TST21     ,t_buy_parta_bill              ,27890, 
Buy-In,BUY_MS_MASTER                 ,TST21     ,t_buy_partb_bill              ,662284, 
Buy-In,BUY_MS_MASTER                 ,TST23     ,t_re_hib                      ,637208, 
Buy-In,BUY_MS_MASTER                 ,TST23     ,t_buy_parta_bill              ,27890, 
Buy-In,BUY_MS_MASTER                 ,TST23     ,t_buy_partb_bill              ,662284, 
Buy-In,BUY_MS_MASTER                 ,TST25     ,t_buy_parta_bill              ,27890, 
Buy-In,BUY_MS_MASTER                 ,TST25     ,t_buy_partb_bill              ,662284, 
Buy-In,BUY_MS_MASTER                 ,TST25     ,t_re_hib                      ,637208, 
Buy-In,BUY_MS_MASTER                 ,TST27     ,t_re_hib                      ,716581, 
Buy-In,BUY_MS_MASTER                 ,TST27     ,t_buy_parta_bill              ,28208, 
Buy-In,BUY_MS_MASTER                 ,TST27     ,t_buy_partb_bill              ,668591, 
Buy-In,BUY_MS_MASTER                 ,TST28     ,t_re_hib                      ,833217, 
Buy-In,BUY_MS_MASTER                 ,TST28     ,t_buy_partb_bill              ,752361, 
Buy-In,BUY_MS_MASTER                 ,TST28     ,t_buy_parta_bill              ,33935, 
Buy-In,BUY_MS_MASTER                 ,TST30     ,t_buy_parta_bill              ,33935, 
Buy-In,BUY_MS_MASTER                 ,TST30     ,t_re_hib                      ,833308, 
Buy-In,BUY_MS_MASTER                 ,TST30     ,t_buy_partb_bill              ,752377, 
Buy-In,BUY_MS_MASTER                 ,TST32     ,t_re_hib                      ,835852, 
Buy-In,BUY_MS_MASTER                 ,TST32     ,t_buy_partb_bill              ,754844, 
Buy-In,BUY_MS_MASTER                 ,TST32     ,t_buy_parta_bill              ,34142, 
Buy-In,BUY_MS_MASTER                 ,TST34     ,t_re_hib                      ,846700, 
Buy-In,BUY_MS_MASTER                 ,TST34     ,t_buy_partb_bill              ,1051250, 
Buy-In,BUY_MS_MASTER                 ,TST34     ,t_buy_parta_bill              ,50043, 
Buy-In,BUY_MS_MASTER                 ,TST36     ,t_re_hib                      ,848039, 
Buy-In,BUY_MS_MASTER                 ,TST36     ,t_buy_parta_bill              ,50043, 
Buy-In,BUY_MS_MASTER                 ,TST36     ,t_buy_partb_bill              ,1051249, 
Buy-In,BUY_MS_MASTER                 ,TST38     ,t_buy_parta_bill              ,50043, 
Buy-In,BUY_MS_MASTER                 ,TST38     ,t_re_hib                      ,848039, 
Buy-In,BUY_MS_MASTER                 ,TST38     ,t_buy_partb_bill              ,1051249, 
Buy-In,BUY_MS_MASTER                 ,UAT01     ,t_buy_parta_bill              ,96596, 
Buy-In,BUY_MS_MASTER                 ,UAT01     ,t_re_hib                      ,966152, 
Buy-In,BUY_MS_MASTER                 ,UAT01     ,t_buy_partb_bill              ,2018104, 
Buy-In,BUY_MS_MASTER                 ,UAT02     ,t_re_hib                      ,966152, 
Buy-In,BUY_MS_MASTER                 ,UAT02     ,t_buy_partb_bill              ,2018104, 
Buy-In,BUY_MS_MASTER                 ,UAT02     ,t_buy_parta_bill              ,96596, 
